id,source_file,dataset_key,series_year,period_start,period_end,period_label,jurisdiction,jurisdiction_slug,location,location_slug,age_group,age_group_slug,metric_key,metric_label,metric_group,detection_method,detection_method_slug,fines,arrests,charges,total_actions
fines-07106,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,ACT,act,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,2060,0,0,2060
fines-07107,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,NSW,nsw,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,40882,0,0,40882
fines-07108,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,NSW,nsw,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,590408,0,0,590408
fines-07109,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,NT,nt,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,671,0,0,671
fines-07110,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,NT,nt,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,23865,0,0,23865
fines-07111,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,QLD,qld,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,28499,0,0,28499
fines-07112,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,QLD,qld,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,502886,0,0,502886
fines-07113,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,SA,sa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,11411,0,0,11411
fines-07114,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,SA,sa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,119500,0,0,119500
fines-07115,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,TAS,tas,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,6780,0,0,6780
fines-07116,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,TAS,tas,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,59962,0,0,59962
fines-07117,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,VIC,vic,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,49739,0,0,49739
fines-07118,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,VIC,vic,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,1114036,0,0,1114036
fines-07119,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,WA,wa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,15957,0,0,15957
fines-07120,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2008,2008-01-01,2008-12-31,Jan 2008,WA,wa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,228822,0,0,228822
fines-07121,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,ACT,act,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,1890,0,0,1890
fines-07122,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,NSW,nsw,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,41167,0,0,41167
fines-07123,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,NSW,nsw,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,513616,0,0,513616
fines-07124,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,NT,nt,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,1106,0,0,1106
fines-07125,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,NT,nt,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,19893,0,0,19893
fines-07126,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,QLD,qld,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,33352,0,0,33352
fines-07127,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,QLD,qld,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,475870,0,0,475870
fines-07128,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,SA,sa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,14167,0,0,14167
fines-07129,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,SA,sa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,107676,0,0,107676
fines-07130,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,TAS,tas,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,5665,0,0,5665
fines-07131,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,TAS,tas,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,67768,0,0,67768
fines-07132,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,VIC,vic,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,53101,0,0,53101
fines-07133,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,VIC,vic,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,1136590,0,0,1136590
fines-07134,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,WA,wa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,14804,0,0,14804
fines-07135,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2009,2009-01-01,2009-12-31,Jan 2009,WA,wa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,254858,0,0,254858
